City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Tabou,CI,2022-01-28 16:15:30,4.423,-7.3528,84.97,62,40,11.27
283,Saint George,US,2022-01-28 16:15:32,37.1041,-113.5841,45.07,47,0,3.44
284,Taoudenni,ML,2022-01-28 16:15:33,22.6783,-3.9836,83.5,10,87,13.24
285,Mareeba,AU,2022-01-28 16:15:33,-17.0,145.4333,73.44,96,100,4.99
286,Buala,SB,2022-01-28 16:15:34,-8.145,159.5921,79.39,81,100,8.34
287,Korla,CN,2022-01-28 16:15:35,41.7597,86.1469,24.12,57,0,1.14
288,Cayenne,GF,2022-01-28 16:15:36,4.9333,-52.3333,82.44,69,100,11.5
289,Tilichiki,RU,2022-01-28 16:15:37,60.4667,166.1,23.4,77,99,25.41
290,Ligayan,PH,2022-01-28 16:15:37,4.6533,119.4706,82.44,70,84,5.41
291,Ziarat,PK,2022-01-28 16:15:39,30.3823,67.7282,40.41,43,4,3.62
